categ,A,B,C,D,E
A,100,100,100,100,100
A,94,34,74,14,54
A,88,28,68,8,48
A,100,40,80,20,60
A,95,35,75,15,55
A,84,24,64,4,44
A,80,20,60,0,40
A,89,29,69,9,49
A,94,34,74,14,54
A,100,40,80,20,60
A,80,20,60,0,40
A,83,23,63,3,43
A,100,40,80,20,60
A,0,0,0,0,0
B,86,26,66,6,46
B,96,36,76,16,56
B,82,22,62,2,42
B,99,39,79,19,59
B,85,25,65,5,45
B,98,38,78,18,58
C,94,34,74,14,54
C,81,21,61,1,41
C,83,23,63,3,43
C,85,25,65,5,45
C,95,35,75,15,55
C,87,27,67,7,47
C,94,34,74,14,54
C,85,25,65,5,45
