categ,A,B,C,D,E,F
A,200,200,200,200,200,200
A,198,106,75,27,175,127
A,182,118,60,51,163,109
A,191,111,60,46,199,100
A,159,112,75,60,150,111
A,183,90,57,50,161,133
A,169,114,63,58,155,123
A,183,109,78,46,157,114
A,151,81,57,36,172,123
A,187,104,62,41,195,105
A,176,103,57,35,180,116
A,176,107,59,32,188,121
A,184,91,76,37,153,121
A,200,98,55,49,162,110
A,155,90,57,45,176,119
A,172,92,80,20,168,115
A,196,120,72,37,165,140
A,153,108,76,36,156,128
A,198,107,79,49,183,125
A,182,106,59,27,172,125
A,167,89,70,22,162,112
A,195,88,51,52,158,133
A,166,97,74,51,189,135
A,177,118,61,32,187,136
A,172,80,55,56,174,140
A,159,103,79,20,157,117
A,162,88,66,54,187,117
A,177,95,51,29,187,102
A,195,114,78,25,158,134
A,173,118,55,22,159,140
A,187,108,79,53,179,125
A,170,101,74,33,183,135
A,186,81,64,21,197,130
A,152,112,56,43,164,106
A,158,97,50,51,190,116
A,154,93,50,55,162,130
A,154,114,71,60,184,117
A,191,91,60,29,196,104
A,188,86,61,60,162,133
A,188,100,53,41,175,124
A,200,90,65,52,196,128
A,183,114,55,37,191,125
A,150,89,56,52,184,137
A,192,118,74,42,164,133
A,177,111,71,44,194,119
A,151,86,79,36,197,134
A,161,115,74,30,162,122
A,192,87,70,21,191,125
A,170,92,54,48,188,138
A,191,82,72,40,187,124
A,151,80,71,42,198,106
B,168,108,54,38,170,123
B,183,102,52,25,189,117
B,195,113,78,43,181,132
B,181,87,60,42,153,118
B,165,106,71,37,195,135
B,160,120,76,57,159,124
B,156,105,52,25,161,112
B,177,117,62,39,171,125
B,175,113,69,45,198,107
B,156,84,61,52,174,100
B,194,116,72,45,163,118
B,184,80,57,27,169,126
B,192,85,62,46,170,119
B,189,120,55,39,156,139
B,189,113,56,28,183,140
B,197,83,53,57,170,120
B,185,86,77,24,165,102
B,160,107,63,26,185,116
B,173,87,72,55,191,117
B,179,104,66,40,188,111
B,159,85,79,60,154,111
B,156,96,53,20,178,109
B,160,80,59,26,166,103
B,160,111,73,22,196,121
B,165,120,52,20,162,110
B,155,85,52,22,190,100
B,191,103,68,27,176,112
B,180,89,69,39,173,123
B,179,116,56,34,194,121
B,200,96,77,34,175,120
B,157,88,74,56,160,106
B,187,97,76,34,195,126
B,196,88,56,28,187,123
B,161,107,58,50,195,124
B,196,93,60,39,189,140
B,154,92,71,29,188,125
B,158,100,71,60,178,108
B,187,101,76,49,198,139
B,192,98,65,60,166,135
B,190,89,68,42,158,113
B,160,117,63,43,180,140
B,161,102,76,26,199,138
B,158,101,58,21,194,132
B,166,106,76,35,158,136
B,167,112,51,43,170,110
B,197,81,69,23,188,113
B,168,119,62,27,181,132
B,174,99,54,52,158,126
B,169,104,77,47,175,140
B,196,90,66,60,181,136
B,20,20,20,20,20,20
