date,Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
04/02/2015 17:51,23.18,27.272,426,721.25,0.004792988,YES
04/02/2015 17:53,23.15,27.245,426,713.5,0.004779464,YES
04/02/2015 17:54,23.15,27.2,426,708.25,0.004771509,YES
04/02/2015 17:55,23.1,27.2,426,704.5,0.004756993,YES
04/02/2015 17:55,23.1,27.2,419,701,0.004756993,YES
04/02/2015 17:57,23.1,27.2,419,699,0.004756993,YES
04/02/2015 18:00,23.075,27.175,419,688,0.004745351,YES
04/02/2015 18:01,23.075,27.15,419,690.25,0.004740952,YES
04/02/2015 18:02,23.1,27.1,419,691,0.004739371,YES
04/02/2015 18:04,23.05,27.15,419,687.5,0.004733732,YES
04/02/2015 18:04,23,27.125,419,686,0.004714942,YES
04/02/2015 18:06,23,27.125,418.5,680.5,0.004714942,YES
04/02/2015 18:07,23,27.2,0,681.5,0.004728078,NO
04/02/2015 18:08,22.945,27.29,0,685,0.004727951,NO
04/02/2015 18:08,22.945,27.39,0,685,0.004745408,NO
04/02/2015 18:10,22.89,27.39,0,689,0.004729506,NO
04/02/2015 18:10,22.89,27.39,0,689.5,0.004729506,NO
04/02/2015 18:11,22.89,27.39,0,689,0.004729506,NO
04/02/2015 18:13,22.89,27.445,0,691,0.004739076,NO
04/02/2015 18:14,22.89,27.5,0,688,0.004748645,NO
04/02/2015 18:15,22.89,27.5,0,689.5,0.004748645,NO
04/02/2015 18:16,22.79,27.445,0,689,0.004710224,NO
04/02/2015 18:17,22.79,27.5,0,687,0.004719735,NO
04/02/2015 18:19,22.79,27.5,0,688,0.004719735,NO
04/02/2015 18:20,22.745,27.5,0,670,0.004706776,NO
04/02/2015 18:22,22.7,27.5,0,670,0.004693849,NO
04/02/2015 18:23,22.7,27.5,0,667,0.004693849,NO
04/02/2015 18:24,22.7,27.6,0,670,0.004711047,NO
04/02/2015 18:27,22.6,27.39,0,672,0.004646433,NO
04/02/2015 18:29,22.6,27.445,0,660.5,0.004655833,NO
04/02/2015 18:30,22.6,27.445,0,655,0.004655833,NO
04/02/2015 18:32,22.6,27.445,0,654.25,0.004655833,NO
04/02/2015 18:33,22.6,27.39,0,648,0.004646433,NO
04/02/2015 18:35,22.5,27.445,0,646,0.004627429,NO
04/02/2015 18:36,22.5,27.5,0,646,0.004636772,NO
04/02/2015 18:36,22.5,27.445,0,641.5,0.004627429,NO
04/02/2015 18:38,22.39,27.29,0,639,0.004570212,NO
04/02/2015 18:39,22.5,27.5,0,640,0.004636772,NO
04/02/2015 18:40,22.39,27.34,0,630.5,0.004578647,NO
04/02/2015 18:42,22.39,27.5,0,632,0.004605641,NO
04/02/2015 18:42,22.39,27.5,0,636.5,0.004605641,NO
04/02/2015 18:43,22.39,27.5,0,627.5,0.004605641,NO
04/02/2015 18:45,22.39,27.39,0,626,0.004587082,NO
04/02/2015 18:46,22.39,27.5,0,625.5,0.004605641,NO
04/02/2015 18:47,22.34,27.39,0,623.5,0.00457305,NO
04/02/2015 18:49,22.39,27.39,0,622,0.004587082,NO
04/02/2015 18:49,22.29,27.39,0,621,0.004559056,NO
04/02/2015 18:51,22.34,27.39,0,626.5,0.00457305,NO
04/02/2015 18:52,22.29,27.39,0,622,0.004559056,NO
04/02/2015 18:53,22.39,27.39,0,620,0.004587082,NO
04/02/2015 18:53,22.29,27.39,0,621.5,0.004559056,NO
04/02/2015 18:55,22.29,27.34,0,609,0.004550673,NO
04/02/2015 18:56,22.29,27.39,0,614,0.004559056,NO
04/02/2015 18:58,22.29,27.34,0,613.5,0.004550673,NO
04/02/2015 18:59,22.29,27.34,0,611,0.004550673,NO
04/02/2015 19:00,22.29,27.39,0,612,0.004559056,NO
04/02/2015 19:01,22.29,27.29,0,608,0.00454229,NO
04/02/2015 19:01,22.29,27.29,0,605.5,0.00454229,NO
04/02/2015 19:04,22.2,27.29,0,608.5,0.004517288,NO
04/02/2015 19:05,22.245,27.29,0,602.5,0.004529774,NO
04/02/2015 19:06,22.2,27.29,0,598,0.004517288,NO
04/02/2015 19:07,22.2,27.29,0,595,0.004517288,NO
04/02/2015 19:08,22.2,27.29,0,591,0.004517288,NO
04/02/2015 19:08,22.245,27.245,0,591,0.00452225,NO
04/02/2015 19:09,22.2,27.2,0,595,0.004502283,NO
04/02/2015 19:12,22.2,27.29,0,593.5,0.004517288,NO
04/02/2015 19:13,22.2,27.29,0,592,0.004517288,NO
04/02/2015 19:14,22.15,27.245,0,586.5,0.004495971,NO
04/02/2015 19:14,22.2,27.2,0,586,0.004502283,NO
04/02/2015 19:15,22.15,27.245,0,586,0.004495971,NO
04/02/2015 19:17,22.2,27.245,0,584.5,0.004509785,NO
04/02/2015 19:18,22.1,27.245,0,584.5,0.004482195,NO
04/02/2015 19:19,22.1,27.2,0,585.5,0.004474738,NO
04/02/2015 19:21,22.2,27.2,0,577,0.004502283,NO
04/02/2015 19:21,22.1,27.2,0,580,0.004474738,NO
04/02/2015 19:23,22.125,27.2,0,582,0.00448161,NO
04/02/2015 19:24,22.2,27.2,0,580,0.004502283,NO
04/02/2015 19:25,22.1,27.15,0,578,0.004466454,NO
04/02/2015 19:25,22.1,27.2,0,576.5,0.004474738,NO
04/02/2015 19:27,22.1,27.2,0,580,0.004474738,NO
04/02/2015 19:27,22.1,27.2,0,572.5,0.004474738,NO
04/02/2015 19:28,22.1,27.2,0,567,0.004474738,NO
04/02/2015 19:30,22.1,27.2,0,568,0.004474738,NO
04/02/2015 19:31,22.1,27.2,0,574.5,0.004474738,NO
04/02/2015 19:33,22.1,27.2,0,563,0.004474738,NO
04/02/2015 19:34,22.1,27.15,0,564.5,0.004466454,NO
04/02/2015 19:36,22.1,27.1,0,562,0.004458169,NO
04/02/2015 19:37,22,27.1,0,565.5,0.004430876,NO
04/02/2015 19:38,22,27.1,0,570,0.004430876,NO
04/02/2015 19:38,22.05,27.15,0,562,0.004452763,NO
04/02/2015 19:40,22,27.1,0,560,0.004430876,NO
04/02/2015 19:40,22,27.1,0,558,0.004430876,NO
04/02/2015 19:41,22,27.1,0,556,0.004430876,NO
04/02/2015 19:43,22,27.1,0,557,0.004430876,NO
04/02/2015 19:45,21.945,27.1,0,557.5,0.004415927,NO
04/02/2015 19:46,21.89,27.1,0,555,0.004401023,NO
04/02/2015 19:47,21.89,27.1,0,553,0.004401023,NO
04/02/2015 19:49,21.89,27.1,0,549.5,0.004401023,NO
04/02/2015 19:50,21.89,27.1,0,548.5,0.004401023,NO
04/02/2015 19:51,21.89,27.1,0,551.5,0.004401023,NO
04/02/2015 19:52,21.89,27.1,0,548.5,0.004401023,NO
